Name,Right ascension,Declination,Flux density,Error class,Galactic lat,Galactic long,4C number,(Label),(Type)
3C409*,20h 14.456m,23d 35.179m,79,a,-6.1,63.4,4C+23.53,3C409*,H16
3C410,20h 20.101m,29d 41.523m,33.2,a,-3.8,69.2,4C+29.60,3C410,H16
3C411,20h 22.136m,10d 1.635m,16.4,a,-15,52.8,4C+09.67,3C411,H16
3C415.2,20h 32.801m,53d 42.287m,9,a,8.2,90.2,4C+53.46,3C415.2,H16
3C418,20h 38.606m,51d 18.613m,11.9,a,6,88.8,4C+51.42,3C418,H16
3C424,20h 48.188m,7d 0.119m,14,a,-22,53.7,4C+06.68,3C424,H16
3C427.1,21h 4.111m,76d 32.032m,19.5,a,19.3,111,4C+76.13,3C427.1,H16
3C428,21h 8.384m,49d 35.189m,17.6,a,1.3,90.5,4C+49.36,3C428,H16
3C430,21h 18.282m,60d 47.680m,33.9,a,8,99.7,4C+60.30,3C430,H16
3C431,21h 18.878m,49d 36.698m,25.7,a,0.1,91.7,4C+49.38,3C431,H16
3C432,21h 22.759m,17d 4.867m,12.5,bl,-22.8,67.9,4C+16.72,3C432,H16
3C433,21h 23.747m,25d 3.915m,54.4,a,-17.7,74.5,4C+24.54,3C433,H16
3C434,21h 23.264m,15d 47.890m,4.8,a,-23.7,67,4C+15.73,3C434,H16
3C434.1,21h 24.590m,52d 5.965m,3.8,a,1.2,94.1,4C+51.45,3C434.1,H16
3C435,21h 29.093m,7d 33.154m,12.8,a,-30,60.7,4C+07.55,3C435,H16
3C436,21h 44.209m,28d 9.807m,15.7,a,-18.8,80.2,4C+27.47,3C436,H16
3C437,21h 47.410m,15d 20.934m,10.4,a,-28.4,70.9,4C+15.75,3C437,H16
3C437.1*,21h 50.876m,14d 1.072m,8.8,b,-29.9,70.4,4C+13.82,3C437.1*,H16
3C437.1*,21h 50.806m,14d 35.069m,9.6,a,-29.5,70.9,4C+14.80,3C437.1*,H16
3C438,21h 55.874m,38d 0.269m,46.3,a,-13,88.8,4C+37.63,3C438,H16
3C441,22h 6.101m,29d 28.639m,12.6,a,-20.9,84.9,4C+29.65,3C441,H16
3C445,22h 23.832m,-2d 10.786m,23.5,a,-46.8,61.8,4C-02.83,3C445,H16
3C446,22h 25.802m,-4d 53.727m,17.3,a,-48.8,59,4C-05.92,3C446,H16
3C449,22h 31.326m,39d 18.433m,10.3,a,-16,95.4,4C+39.69,3C449,H16
3C452,22h 45.797m,39d 40.804m,30,b,-17.1,98.1,4C+39.71,3C452,H16
3C454,22h 51.581m,18d 47.934m,10.7,a,-35.7,87.3,4C+18.67,3C454,H16
3C454.1,22h 50.486m,71d 27.917m,10.2,a,10.8,113.6,4C+71.20,3C454.1,H16
3C454.2,22h 52.055m,64d 39.948m,10.3,a,4.7,110.6,4C+64.24,3C454.2,H16
3C454.3,22h 53.953m,16d 9.985m,12.7,a,-38.2,86.1,4C+15.76,3C454.3,H16
3C455,22h 55.052m,13d 9.008m,11.7,a,-40.8,84.2,4C+12.79,3C455,H16
3C456,23h 12.464m,9d 19.323m,11.6,a,-46.4,86.2,4C+09.73,3C456,H16
3C458,23h 12.848m,5d 16.329m,9.6,a,-49.8,82.9,4C+05.85,3C458,H16
3C459,23h 16.567m,4d 4.384m,28.8,a,-51.3,83,4C+03.57,3C459,H16
3C460,23h 21.476m,23d 47.448m,8.1,a,-34.6,97.8,4C+23.58,3C460,H16
3C461*,23h 23.439m,58d 49.471m,12000,,-2.1,111.7,4C+58.40,3C461*,H16
3C465,23h 38.535m,26d 56.617m,13.6,a,-33.2,103.5,4C+26.64,3C465,H16
3C468.1,23h 50.882m,64d 40.679m,30.5,a,2.6,116.5,4C+64.25,3C468.1,H16
3C469.1,23h 55.434m,79d 52.690m,11.1,a,17.3,120.4,4C+79.23,3C469.1,H16
3C470,23h 58.581m,44d 3.696m,9,a,-17.8,113,4C+43.59,3C470,H16
