;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC1528,,Perseus,Open cluster,4h 15.4m,51° 14',6.2,25,*,number: 40
NGC1532,,Eridanus,Spiral galaxy,4h 12.1m,-32° 52',11.8,5.0x1.0,,Sb - edge-on
NGC1535,,Eridanus,Planetary nebula,4h 14.2m,-12° 44',9.3,20x17,,cnt str:11.8 - pale blue
NGC1545,,Perseus,Open cluster,4h 20.9m,50° 15',6.2,18,,number: 20
NGC1554,,Taurus,Diffuse nebula,4h 21.8m,19° 32',9.4,,,spec: Gpe-Hind's Variable
NGC1555,,Taurus,Diffuse nebula,4h 21.8m,19° 32',9.4,,*,spec:dG5e-Hind's Variable
NGC1647,,Taurus,Open cluster,4h 46m,19° 4',6.3,45,*,number: 200
NGC1664,,Auriga,Open cluster,4h 51.1m,43° 42',7.5,18,,number: 40
NGC1700,,Eridanus,Elliptical galaxy,4h 56.9m,-4° 52',11.9,0.9x0.8,,E1
NGC1746,,Taurus,Open cluster,5h 3.6m,23° 49',6,45,,number: 20
NGC1792,,Columba,Spiral galaxy,5h 5.2m,-37° 59',10.2,3x1,,Sb
NGC1817,,Taurus,Open cluster,5h 12.1m,16° 42',7.9,15,,number: 60
NGC1851,,Columba,Globular cluster,5h 14.1m,-40° 3',7.3,5.3,,II - X-ray source
NGC1857,,Auriga,Open cluster,5h 20.2m,39° 21',7,6,,number: 45
NGC1893,,Auriga,Open cluster,5h 22.7m,33° 24',7.5,12,,nmbr: 60 - crescent shape
NGC1904,M 79,Lepus,Globular cluster,5h 24.5m,-24° 33',8.4,3.2,*,V
NGC1907,,Auriga,Open cluster,5h 28m,35° 19',8.2,7,,number: 30
NGC1912,M 38,Auriga,Open cluster,5h 28.7m,35° 50',6.4,21,*,number: 100
NGC1952,M  1,Taurus,Planetary nebula,5h 34.5m,22° 1',8.2,6x4,!!,SNR (1054) - Crab Nebula
NGC1960,M 36,Auriga,Open cluster,5h 36.1m,34° 8',6,12,*,number: 60
NGC1976,M 42,Orion,Diffuse nebula,5h 35.4m,-5° 27',2.9,66x60,!!!,Great Orion Nebula
NGC1977,,Orion,Diffuse nebula,5h 35.5m,-4° 52',4.6,40x25,!,
NGC1982,M 43,Orion,Diffuse nebula,5h 35.6m,-5° 16',6.9,20x15,*,detached portion of M42
NGC1990,,Orion,Diffuse nebula,5h 36.2m,-1° 12',1.8,50x50,*,spec:BOe - around Eps Ori
NGC2023,,Orion,Diffuse nebula,5h 41.6m,-2° 14',7.8,10x10,,spectrum: B2
NGC2024,,Orion,Diffuse nebula,5h 40.7m,-2° 27',1.9,30x30,!,s:BOne-cmplx inner detail
NGC2064,,Orion,Diffuse nebula,5h 46.3m,0° 0',9.9,11x2,,
NGC2068,M 78,Orion,Diffuse nebula,5h 46.7m,0° 3',10.5,8x6,*,spec: B8 - comet shaped
NGC2099,M 37,Auriga,Open cluster,5h 52.4m,32° 33',5.6,24,!,number: 150
NGC2112,,Orion,Open cluster,5h 53.9m,0° 24',8.6,11,,number: 50
