Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
AKSNES 2067,10.48,0.15,116.60247,300.35043,150.69439,3.070075,0.1827527,3.9510229,48800
ALAGASTA 738,10.13,0.15,300.09788,47.164316,132.51173,3.528582,0.0632618,3.0324423,48800
ALAIN 1969,11.6,0.15,152.49458,348.10546,209.8017,3.321347,0.1470612,3.0995118,48800
ALAMOSA 2927,12.1,0.15,286.23653,188.52072,150.66273,16.982904,0.1681932,2.5313235,48800
ALANHALE 4151,11.9,0.15,174.06879,66.827062,66.88954,1.018847,0.1507944,3.142255,48800
ALAUDA 702,7.25,0.15,149.99528,1.744678,290.32561,20.572441,0.0283913,3.1921027,48800
ALBERT 719,16,0.15,10.073,151.9352,186.79823,10.814606,0.5403725,2.5839057,19320
ALBERTINE 1290,12.5,0.15,25.714794,77.99007,307.804,5.599675,0.1532538,2.3661285,48800
ALBINA 2697,10.2,0.15,110.98931,122.87194,273.1176,3.57939,0.0896812,3.5642405,48800
ALBITSKIJ 1783,11.8,0.15,97.634304,313.65075,189.84642,11.476625,0.1349444,2.6608535,48800
ALCOCK 3174,11.8,0.15,108.00413,7.58039,72.365666,2.374421,0.1708172,3.1494448,48800
ALDEN 2941,13.9,0.15,185.24463,64.366578,10.592042,3.246825,0.0897653,2.1512816,48800
ALEKHIN 1909,12.3,0.15,173.22946,4.459316,227.90303,1.774446,0.2214135,2.4253973,48800
ALEKSANDROV 2711,11.5,0.15,215.73393,208.23679,158.11538,10.272793,0.0978942,3.0060596,48800
ALEKTO 465,9.7,0.15,208.38967,285.46165,300.89929,4.659045,0.2118614,3.0867536,48800
ALEMANNIA 418,9.77,0.15,316.22252,125.70786,249.2572,6.831712,0.1197089,2.5925851,48800
ALETHEIA 259,7.76,0.15,26.638738,165.66318,87.715844,10.76649,0.111924,3.1469498,48800
ALETTA 1194,10.2,0.15,153.49973,244.47632,291.6294,10.876564,0.0882447,2.9158118,48800
ALEX 3367,12.2,0.15,28.214934,238.55313,258.62649,5.30806,0.0696328,2.7859293,48800
ALEXANDRA 54,7.66,0.15,13.250856,345.30878,313.58538,11.827067,0.1996948,2.7094839,48800
ALFATERNA 1191,11.3,0.15,131.91147,55.952292,134.99572,18.467391,0.0455302,2.8936885,48800
