Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
1949PP 3183,12.7,0.15,188.16663,210.66383,128.86839,2.174597,0.1260651,3.1988721,48800
1949PR 3020,12.2,0.15,117.40262,192.80461,142.24642,6.265735,0.0606732,2.7606506,48800
1949PS 2591,11.4,0.15,244.29665,266.87896,356.85486,1.555228,0.0395949,2.9400651,48800
1949PV 4001,13.8,0.15,136.77629,203.47368,130.90928,5.456432,0.172629,2.2868492,48800
1949QC 3184,12.1,0.15,300.41317,237.18707,97.65654,8.220809,0.2656577,2.6635967,48800
1949QH1 3654,14.3,0.15,177.11923,182.17724,201.11788,2.10191,0.2011352,2.2625558,48800
1949SF 3745,14.2,0.15,125.29416,328.84388,356.69039,9.039751,0.2503766,2.428539,48800
1950 HJ 4756,12,0.15,21.25702,354.29328,239.9795,9.18091,0.0580918,3.0199605,49000
1950DD 3440,12.2,0.15,203.48977,141.93011,171.54347,7.536274,0.0551006,2.8056494,48800
1950DL 2572,13.4,0.15,77.838262,50.586732,200.70083,5.141095,0.1449203,2.3920218,48800
1950FC 2546,12,0.15,27.706671,232.35626,315.7543,10.384116,0.1884542,2.6020606,48800
1950JB 4002,11.9,0.15,135.81322,184.11915,117.30294,14.671948,0.0282955,2.5158547,48800
1950SJ 3755,13.9,0.15,158.33257,120.68728,226.19112,7.785482,0.2183146,2.2472636,48800
1951 W02 2211,13.9,0.15,122.47912,194.47299,146.5873,17.36996,0.0907224,3.1758551,48800
1951JQ 4182,12.2,0.15,224.9249,29.31554,262.14568,8.032637,0.1313213,2.801695,48800
1951OM 2718,11.7,0.15,171.84868,259.36843,45.20839,1.508029,0.1640307,3.1094351,48800
1951SD 3346,11.1,0.15,74.736267,3.071216,3.113944,21.589435,0.0503786,3.1802745,48800
1952HJ2 4462,11.8,0.15,117.28497,202.22055,58.118497,1.008266,0.1460231,3.0738287,48800
1952QX 4299,13.3,0.15,281.1513,272.23696,104.63127,5.083671,0.1723125,2.2429095,48800
1952UZ1 2739,13.2,0.15,191.66501,35.318894,268.38422,1.169811,0.1313022,2.4564275,48800
1953 FK1 5567,10.8,0.15,250.00051,306.93877,9.6982,16.14257,0.215914,2.9473793,49200
1953 PR 4910,14.6,0.15,121.12502,154.77073,180.20391,4.99611,0.3299722,2.4377154,49000
1953 TS2 5568,13.6,0.15,285.93483,241.21523,81.29811,3.70707,0.1567326,2.2650629,49200
1953 UD 4911,12.4,0.15,77.87657,156.82932,210.22653,13.04572,0.1805792,2.6368591,49000
1953 VX1 4912,13.4,0.15,89.3893,205.32178,192.29004,3.6625,0.1377748,2.3023294,49000
1953EE 3156,11.3,0.15,88.426204,119.04563,7.372183,15.834186,0.1985016,2.8536495,48800
1953GE 2278,14.3,0.15,34.505521,205.51186,53.67738,4.222368,0.1505026,2.4519858,48800
1953GG 2806,13.3,0.15,15.427958,312.35521,116.18102,2.339868,0.0465413,2.3783042,48800
1953LG 2025,10.5,0.15,333.47839,301.93999,330.67961,7.031385,0.0959232,3.1721209,48800
1953NB 3284,13,0.15,152.89671,259.14586,73.998068,6.66012,0.3862838,2.7670005,48800
1953RG 4045,11.2,0.15,154.21514,249.84122,224.57164,21.349734,0.1138184,3.2194018,48800
