Luyten Plate,Red Plate,Blue Plate,Right ascension,Declination,Nominal ctr (1855),"Galactic Long, Lat",MicroSky[tm],SAO stars,Exposure date,Exposure (min),Seeing (1-5),Hour angle,Notes
48,E-772,O-772,21h 33.228m,72° 38.743m,+72 21h 32m,"109.32, 15.25",µ12 Field 48,256,1953-Jul-10 R: 02:41 B: 02:23,R: 45 B: 12,R: 3  B: 3,R: 00h37m W B: 00h19m W
49,E-559,O-559,22h 43.959m,72° 45.585m,+72 22h 40m,"113.72, 12.21",µ12 Field 49,324,1952-Aug-19 R: 23:42 B: 00:38,R: 50 B: 10,R: 2  B: 2,R: 00h54m E B: 00h03m W
50,E-560,O-560,23h 55.183m,72° 48.421m,+72 23h 48m,"118.74, 10.39",µ12 Field 50,251,1952-Aug-19 R: 00:56 B: 01:52,R: 50 B: 10,R: 2  B: 2,R: 00h50m E B: 00h06m W
51,E-555,O-555,0h 7.515m,66° 48.439m,+66 0h 00m,"118.62, 4.3",µ6 Field 51,365,1952-Aug-18 R: 02:11 B: 03:07,R: 50 B: 10,R: 3-4  B: 3,R: 00h09m W B: 01h06m W
52,E-1234,O-1234,1h 1.259m,66° 46.932m,+66 0h 52m,"123.9, 3.93",µ6 Field 52,306,1954-Sep-30 R: 00:38 B: 01:35,R: 50 B: 13,R: 2  B: 3,R: 00h30m W B: 01h27m W
53,E-878,O-878,1h 54.879m,66° 42.722m,+66 1h 44m,"129.15, 4.61",µ6 Field 53,289,1953-Oct-30 R: 23:02 B: 23:53,R: 45 B: 12,R: 2  B: 2,R: 00h00m  B: 00h51m W
54,E-1241,O-1241,2h 48.327m,66° 36.526m,+66 2h 36m,"134.18, 6.32",µ6 Field 54,263,1954-Oct-02 R: 02:12 B: 01:53,R: 50 B: 13,R: 3  B: 3,R: 00h27m W B: 00h07m W
55,E-973,O-973,3h 41.308m,66° 28.432m,+66 3h 28m,"138.77, 8.98",µ7 Field 55,213,1954-Jan-30 R: 18:30 B: 19:17,R: 40 B: 12,R: 1  B: 1,R: 00h16m E B: 00h32m W
56,E-1303,O-1303,4h 34.091m,66° 19.393m,+66 4h 20m,"142.79, 12.47",µ7 Field 56,207,1954-Dec-20 R: 22:50 B: 22:40,R: 45 B: 12,R: 2-3  B: 2-3,R: 00h39m W B: 00h20m W
57,E-1246,O-1246,5h 26.612m,66° 8.801m,+66 5h 12m,"146.11, 16.67",µ7 Field 57,213,1954-Oct-03 R: 03:22 B: 03:03,R: 50 B: 13,R: 2-3  B: 2,R: 00h57m E B: 01h16m E
58,E-677,O-677,6h 18.619m,65° 57.527m,+66 6h 04m,"148.59, 21.39",µ7 Field 58,220,1953-Feb-14 R: 20:25 B: 20:09,R: 40 B: 10,R: 2-3  B: 2,R: 00h03m W B: 01h13m E
59,E-686,O-686,7h 10.432m,65° 46.767m,+66 6h 56m,"150.11, 26.49",µ8 Field 59,234,1953-Mar-07 R: 19:19 B: 20:06,R: 40 B: 10,R: 2  B: 2,R: 00h32m E B: 00h15m W
60,E-1330,O-1330,8h 1.748m,65° 36.838m,+66 7h 48m,"150.51, 31.75",µ8 Field 60,219,1955-Jan-28 R: 00:57 B: 01:53,R: 50 B: 12,R: 2-3  B: 3,R: 01h44m W B: 02h40m W
61,E-1286,O-1286,8h 52.696m,65° 27.474m,+66 8h 40m,"149.6, 36.97",µ8 Field 61,203,1954-Nov-23 R: 03:19 B: 04:10,R: 45 B: 12,R: 3  B: 3,R: 01h06m E B: 00h15m E
62,E-708,O-708,9h 43.480m,65° 20.374m,+66 9h 32m,"147.13, 41.89",µ8 Field 62,174,1953-Mar-15 R: 22:39 B: 22:27,R: 45 B: 10,R: 3-4  B: 3,R: 00h46m W B: 00h29m W
63,E-662,O-662,10h 34.134m,65° 15.239m,+66 10h 24m,"142.87, 46.2",µ9 Field 63,200,1953-Feb-07 R: 01:36 B: 01:19,R: 40 B: 10,R: 1  B: 1,R: 00h30m W B: 00h13m W
64,E-977,O-977,11h 24.633m,65° 12.266m,+66 11h 16m,"136.75, 49.53",µ9 Field 64,207,1954-Feb-09 R: 03:00 B: 02:37,R: 45 B: 12,R: 1-2  B: 1-2,R: 01h10m W B: 00h47m W
65,E-674,O-674,12h 15.049m,65° 11.616m,+66 12h 08m,"129.05, 51.5",µ9 Field 65,164,1953-Feb-13 R: 02:18 B: 02:02,R: 40 B: 10,R: 2  B: 2,R: 00h06m E B: 00h22m E
66,E-717,O-717,13h 5.405m,65° 13.508m,+66 13h 00m,"120.56, 51.84",µ9 Field 66,175,1953-Apr-12 R: 23:56 B: 23:39,R: 45 B: 10,R: 1-2  B: 2,R: 00h29m W B: 00h12m W
67,E-1428,O-1428,13h 56.022m,65° 17.639m,+66 13h 52m,"112.4, 50.49",µ10 Field 67,195,1955-May-18 R: 22:00 B: 21:43,R: 50 B: 12,R: 2  B: 2,R: 00h03m W B: 00h15m E
68,E-1575,O-1575,14h 46.625m,65° 24.001m,+66 14h 44m,"105.61, 47.67",µ10 Field 68,213,1956-Mar-14 R: 04:03 B: 03:49,R: 45 B: 8,R: 2  B: 2,R: 01h02m W B: 00h48m W
69,E-1426,O-1426,15h 37.568m,65° 31.776m,+66 15h 36m,"100.6, 43.71",µ10 Field 69,216,1955-May-16 R: 00:29 B: 00:11,R: 50 B: 12,R: 2  B: 2,R: 00h41m W B: 00h23m W
70,E-1410,O-1410,16h 28.835m,65° 40.955m,+66 16h 28m,"97.43, 38.99",µ10 Field 70,246,1955-Apr-23 R: 02:35 B: 02:17,R: 50 B: 12,R: 3  B: 3,R: 00h26m W B: 00h08m W
71,E-745,O-745,17h 20.363m,65° 51.672m,+66 17h 20m,"95.93, 33.85",µ11 Field 71,258,1953-Jun-08 R: 00:34 B: 01:26,R: 45 B: 10,R: 2  B: 2,R: 00h36m W B: 01h28m W
72,E-550,O-550,18h 12.161m,66° 2.498m,+66 18h 12m,"95.83, 28.58",µ11 Field 72,239,1952-Aug-18 R: 20:00 B: 20:56,R: 50 B: 10,R: 2  B: 2,R: 00h10m E B: 00h46m W
73,E-1090,O-1090,19h 4.372m,66° 13.355m,+66 19h 04m,"96.92, 23.39",µ11 Field 73,285,1954-Jun-06 R: 00:34 B: 01:30,R: 50 B: 15,R: 2-3  B: 2,R: 01h17m E B: 00h21m E
74,E-777,O-777,19h 56.932m,66° 21.392m,+66 19h 56m,"99, 18.49",µ11 Field 74,292,1953-Aug-10 R: 22:38 B: 23:30,R: 45 B: 12,R: 2  B: 3,R: 00h12m W B: 01h04m W
75,E-546,O-546,20h 49.959m,66° 32.692m,+66 20h 48m,"102.03, 14.07",µ12 Field 75,297,1952-Aug-17 R: 21:38 B: 21:21,R: 50 B: 10,R: 2  B: 2,R: 01h13m E B: 01h30m E
76,E-1165,O-1165,21h 43.265m,66° 39.854m,+66 21h 40m,"105.8, 10.28",µ12 Field 76,382,1954-Aug-05 R: 22:31 B: 23:27,R: 50 B: 13,R: 2-3  B: 2-3,R: 02h02m E B: 01h06m E
77,E-553,O-553,22h 36.839m,66° 45.318m,+66 22h 32m,"110.2, 7.27",µ12 Field 77,331,1952-Aug-18 R: 23:42 B: 00:38,R: 50 B: 10,R: 3  B: 3,R: 00h51m E B: 00h05m W
